TrdExctnQrDt,InvestGrade,TotalVolume
2002-07-01,HY,455501387879.0
2002-07-01,IG,195631674586.0
2002-10-01,HY,280682547441.0
2002-10-01,IG,304407294644.0
2003-01-01,HY,222785610886.0
2003-01-01,IG,407279494646.0
2003-04-01,HY,210694296399.0
2003-04-01,IG,405012573993.0
2003-07-01,HY,159390052517.0
2003-07-01,IG,390754211246.0
2003-10-01,HY,125844421065.0
2003-10-01,IG,370606862130.0
2004-01-01,HY,187558112291.0
2004-01-01,IG,398529698588.0
2004-04-01,HY,156391249958.0
2004-04-01,IG,345423639739.0
2004-07-01,HY,169681065935.0
2004-07-01,IG,350343595044.0
2004-10-01,HY,161154308429.0
2004-10-01,IG,334685502966.0
2005-01-01,HY,167334649601.0
2005-01-01,IG,394347052318.0
2005-04-01,HY,176165162702.0
2005-04-01,IG,320721711471.0
2005-07-01,HY,164847382270.0
2005-07-01,IG,245413713426.0
2005-10-01,HY,168078911532.0
2005-10-01,IG,233660542371.0
2006-01-01,HY,192043668907.0
2006-01-01,IG,270686984614.0
2006-04-01,HY,160477563287.0
2006-04-01,IG,256306260375.0
2006-07-01,HY,156139311062.0
2006-07-01,IG,230833815466.0
2006-10-01,HY,186996277456.0
2006-10-01,IG,282852815713.0
2007-01-01,HY,180607500244.0
2007-01-01,IG,264892327280.0
2007-04-01,HY,153833830600.0
2007-04-01,IG,246910683588.0
2007-07-01,HY,159088380776.0
2007-07-01,IG,228161209134.0
2007-10-01,HY,144999026648.0
2007-10-01,IG,199609451165.0
2008-01-01,HY,154517689410.0
2008-01-01,IG,275378621601.0
2008-04-01,HY,167097017694.0
2008-04-01,IG,293642106906.0
2008-07-01,HY,142716227908.0
2008-07-01,IG,246232623460.0
2008-10-01,HY,152294152738.0
2008-10-01,IG,315096689283.0
2009-01-01,HY,190439480113.0
2009-01-01,IG,380000809826.0
2009-04-01,HY,231335518003.0
2009-04-01,IG,447666421059.0
2009-07-01,HY,199574034979.0
2009-07-01,IG,399720479050.0
2009-10-01,HY,168787583984.0
2009-10-01,IG,338526580893.0
2010-01-01,HY,220492395328.0
2010-01-01,IG,383788270179.0
2010-04-01,HY,196346555441.0
2010-04-01,IG,368608761200.0
2010-07-01,HY,201363257987.0
2010-07-01,IG,341242952229.0
2010-10-01,HY,195084023591.0
2010-10-01,IG,331433243356.0
2011-01-01,HY,220964311116.0
2011-01-01,IG,411587457158.0
2011-04-01,HY,197894077825.0
2011-04-01,IG,372962997768.0
2011-07-01,HY,209936085132.0
2011-07-01,IG,371279419977.0
2011-10-01,HY,161705189740.0
2011-10-01,IG,327807634250.0
2012-01-01,HY,234390288882.0
2012-01-01,IG,402990678575.0
2012-04-01,HY,191653682282.0
2012-04-01,IG,333114324744.0
2012-07-01,HY,177147283973.0
2012-07-01,IG,301589216573.0
2012-10-01,HY,174210522941.0
2012-10-01,IG,309815343839.0
2013-01-01,HY,199239588238.0
2013-01-01,IG,382670501393.0
2013-04-01,HY,205384214769.0
2013-04-01,IG,400788401570.0
2013-07-01,HY,189560485473.0
2013-07-01,IG,352679607441.0
2013-10-01,HY,177862041239.0
2013-10-01,IG,354359488210.0
2014-01-01,HY,213774807235.0
2014-01-01,IG,413440760667.0
2014-04-01,HY,208129460735.0
2014-04-01,IG,393654611354.0
2014-07-01,HY,198039973683.0
2014-07-01,IG,359155403494.0
2014-10-01,HY,211078420880.0
2014-10-01,IG,394545555021.0
2015-01-01,HY,257759590543.0
2015-01-01,IG,457781711155.0
2015-04-01,HY,229077194578.0
2015-04-01,IG,442144436732.0
2015-07-01,HY,221129149101.0
2015-07-01,IG,424709409268.0
2015-10-01,HY,207496816943.0
2015-10-01,IG,405527347881.0
2016-01-01,HY,267211792195.0
2016-01-01,IG,510241632669.0
2016-04-01,HY,219848147894.0
2016-04-01,IG,473349312063.0
2016-07-01,HY,198246433992.0
2016-07-01,IG,446524525897.0
2016-10-01,HY,182396499952.0
2016-10-01,IG,457965921682.0
2017-01-01,HY,222294298251.0
2017-01-01,IG,567781155119.0
2017-04-01,HY,179198993190.0
2017-04-01,IG,491244314797.0
2017-07-01,HY,170914363150.0
2017-07-01,IG,451226218483.0
2017-10-01,HY,166183916881.0
2017-10-01,IG,462054880393.0
2018-01-01,HY,223944087617.0
2018-01-01,IG,545027949465.0
2018-04-01,HY,164943148866.0
2018-04-01,IG,530645545551.0
2018-07-01,HY,146882215252.0
2018-07-01,IG,455185158570.0
2018-10-01,HY,143048625083.0
2018-10-01,IG,506379554537.0
2019-01-01,HY,193313293257.0
2019-01-01,IG,635911595471.0
2019-04-01,HY,166722332267.0
2019-04-01,IG,559486013760.0
2019-07-01,HY,166325136785.0
2019-07-01,IG,519663770754.0
2019-10-01,HY,145821633371.0
2019-10-01,IG,491399067869.0
2020-01-01,HY,217180292806.0
2020-01-01,IG,678695809137.0
2020-04-01,HY,292574927101.0
2020-04-01,IG,796262656280.0
2020-07-01,HY,190980023061.0
2020-07-01,IG,546413082014.0
2020-10-01,HY,159318107461.0
2020-10-01,IG,533343869754.0
2021-01-01,HY,199005606536.0
2021-01-01,IG,665828989904.0
2021-04-01,HY,144403907865.0
2021-04-01,IG,553917630160.0
2021-07-01,HY,125744027637.0
2021-07-01,IG,488909046163.0
2021-10-01,HY,111893324896.0
2021-10-01,IG,471718899702.0
2022-01-01,HY,135929560481.0
2022-01-01,IG,592544557054.0
2022-04-01,HY,126831636327.0
2022-04-01,IG,596171407947.0
2022-07-01,HY,116133824265.0
2022-07-01,IG,550634444994.0
2022-10-01,HY,92853118601.0
2022-10-01,IG,573366291172.0
2023-01-01,HY,125126976488.0
2023-01-01,IG,690111153328.0
2023-04-01,HY,132015576133.0
2023-04-01,IG,599662365391.0
2023-07-01,HY,101442363126.0
2023-07-01,IG,572138329848.0
2023-10-01,HY,103483259818.0
2023-10-01,IG,645233765800.0
