TrdExctnQrDt,SizeCategory,TotalVolume
2002-07-01,Block,383900538494.0
2002-07-01,Odd Lot,52444680700.0
2002-07-01,Retail,13723280056.0
2002-07-01,Round Lot,201064563215.0
2002-10-01,Block,315363281367.0
2002-10-01,Odd Lot,53620583423.0
2002-10-01,Retail,13994099705.0
2002-10-01,Round Lot,202111877590.0
2003-01-01,Block,332579542459.0
2003-01-01,Odd Lot,57478323292.0
2003-01-01,Retail,14725425648.0
2003-01-01,Round Lot,225281814133.0
2003-04-01,Block,314454569023.0
2003-04-01,Odd Lot,56777430126.0
2003-04-01,Retail,13558228955.0
2003-04-01,Round Lot,230916642288.0
2003-07-01,Block,278437356633.0
2003-07-01,Odd Lot,51047818906.0
2003-07-01,Retail,11903630777.0
2003-07-01,Round Lot,208755457447.0
2003-10-01,Block,258825174126.0
2003-10-01,Odd Lot,46352405979.0
2003-10-01,Retail,10742622305.0
2003-10-01,Round Lot,180531080785.0
2004-01-01,Block,325527345712.0
2004-01-01,Odd Lot,49440196633.0
2004-01-01,Retail,10583282991.0
2004-01-01,Round Lot,200536985543.0
2004-04-01,Block,271283729610.0
2004-04-01,Odd Lot,46063717462.0
2004-04-01,Retail,10662280718.0
2004-04-01,Round Lot,173805161907.0
2004-07-01,Block,295461521730.0
2004-07-01,Odd Lot,42898762956.0
2004-07-01,Retail,10315375007.0
2004-07-01,Round Lot,171349001286.0
2004-10-01,Block,269925272308.0
2004-10-01,Odd Lot,41375162742.0
2004-10-01,Retail,9482687286.0
2004-10-01,Round Lot,175056689059.0
2005-01-01,Block,302481310974.0
2005-01-01,Odd Lot,48349738163.0
2005-01-01,Retail,12035812666.0
2005-01-01,Round Lot,198814840116.0
2005-04-01,Block,236597899287.0
2005-04-01,Odd Lot,51455159815.0
2005-04-01,Retail,11854299095.0
2005-04-01,Round Lot,196979515976.0
2005-07-01,Block,208125607966.0
2005-07-01,Odd Lot,41158837301.0
2005-07-01,Retail,9144264905.0
2005-07-01,Round Lot,151832385524.0
2005-10-01,Block,201157682641.0
2005-10-01,Odd Lot,40121575922.0
2005-10-01,Retail,9646350966.0
2005-10-01,Round Lot,150813844374.0
2006-01-01,Block,228972584955.0
2006-01-01,Odd Lot,41665206740.0
2006-01-01,Retail,9314438084.0
2006-01-01,Round Lot,182778423742.0
2006-04-01,Block,214257937036.0
2006-04-01,Odd Lot,35519517374.0
2006-04-01,Retail,8536052472.0
2006-04-01,Round Lot,158470316780.0
2006-07-01,Block,197538304156.0
2006-07-01,Odd Lot,34202647074.0
2006-07-01,Retail,8616525741.0
2006-07-01,Round Lot,146615649557.0
2006-10-01,Block,279359069162.0
2006-10-01,Odd Lot,34731603725.0
2006-10-01,Retail,8625731960.0
2006-10-01,Round Lot,147132688322.0
2007-01-01,Block,246988847880.0
2007-01-01,Odd Lot,34132714514.0
2007-01-01,Retail,8264180657.0
2007-01-01,Round Lot,156114084473.0
2007-04-01,Block,220217338645.0
2007-04-01,Odd Lot,32109219186.0
2007-04-01,Retail,8331101871.0
2007-04-01,Round Lot,140086854486.0
2007-07-01,Block,223845527701.0
2007-07-01,Odd Lot,28458887434.0
2007-07-01,Retail,7766040203.0
2007-07-01,Round Lot,127179134572.0
2007-10-01,Block,182290111000.0
2007-10-01,Odd Lot,30866346830.0
2007-10-01,Retail,8035241015.0
2007-10-01,Round Lot,123416778968.0
2008-01-01,Block,225962424851.0
2008-01-01,Odd Lot,37387195700.0
2008-01-01,Retail,10706940460.0
2008-01-01,Round Lot,155839750000.0
2008-04-01,Block,250704957582.0
2008-04-01,Odd Lot,38478163135.0
2008-04-01,Retail,11284729636.0
2008-04-01,Round Lot,160271274247.0
2008-07-01,Block,214858067546.0
2008-07-01,Odd Lot,33220065168.0
2008-07-01,Retail,11420727510.0
2008-07-01,Round Lot,129449991144.0
2008-10-01,Block,261132463626.0
2008-10-01,Odd Lot,42321970847.0
2008-10-01,Retail,16245875550.0
2008-10-01,Round Lot,147690531998.0
2009-01-01,Block,307631098049.0
2009-01-01,Odd Lot,55639501814.0
2009-01-01,Retail,21238497727.0
2009-01-01,Round Lot,185931192349.0
2009-04-01,Block,374030158760.0
2009-04-01,Odd Lot,61034143718.0
2009-04-01,Retail,22724252672.0
2009-04-01,Round Lot,221213383912.0
2009-07-01,Block,311947012366.0
2009-07-01,Odd Lot,58798308918.0
2009-07-01,Retail,19316788019.0
2009-07-01,Round Lot,209232404726.0
2009-10-01,Block,264613753716.0
2009-10-01,Odd Lot,50766438002.0
2009-10-01,Retail,15715666175.0
2009-10-01,Round Lot,176218306984.0
2010-01-01,Block,334534023883.0
2010-01-01,Odd Lot,55673044681.0
2010-01-01,Retail,16836560503.0
2010-01-01,Round Lot,197237036440.0
2010-04-01,Block,305988681107.0
2010-04-01,Odd Lot,53594239150.0
2010-04-01,Retail,16168631454.0
2010-04-01,Round Lot,189203764930.0
2010-07-01,Block,283303378671.0
2010-07-01,Odd Lot,55598605410.0
2010-07-01,Retail,16183629626.0
2010-07-01,Round Lot,187520596509.0
2010-10-01,Block,273709396429.0
2010-10-01,Odd Lot,54411003285.0
2010-10-01,Retail,15094455598.0
2010-10-01,Round Lot,183302411635.0
2011-01-01,Block,342643726108.0
2011-01-01,Odd Lot,61026182711.0
2011-01-01,Retail,15838391314.0
2011-01-01,Round Lot,213043468141.0
2011-04-01,Block,315116147151.0
2011-04-01,Odd Lot,54392109677.0
2011-04-01,Retail,14233875075.0
2011-04-01,Round Lot,187114943690.0
2011-07-01,Block,315461565482.0
2011-07-01,Odd Lot,55950697205.0
2011-07-01,Retail,13379513324.0
2011-07-01,Round Lot,196423729098.0
2011-10-01,Block,223102306467.0
2011-10-01,Odd Lot,60707556760.0
2011-10-01,Retail,14766109064.0
2011-10-01,Round Lot,190936851699.0
2012-01-01,Block,321724617321.0
2012-01-01,Odd Lot,68902561704.0
2012-01-01,Retail,17208095604.0
2012-01-01,Round Lot,229545692828.0
2012-04-01,Block,236825127415.0
2012-04-01,Odd Lot,63389718768.0
2012-04-01,Retail,15563906309.0
2012-04-01,Round Lot,208989254534.0
2012-07-01,Block,214274951687.0
2012-07-01,Odd Lot,59076058381.0
2012-07-01,Retail,15308148116.0
2012-07-01,Round Lot,190077342362.0
2012-10-01,Block,223335649926.0
2012-10-01,Odd Lot,62530321678.0
2012-10-01,Retail,14848863076.0
2012-10-01,Round Lot,183311032100.0
2013-01-01,Block,273378407550.0
2013-01-01,Odd Lot,69496038212.0
2013-01-01,Retail,17151034517.0
2013-01-01,Round Lot,221884609352.0
2013-04-01,Block,279833537500.0
2013-04-01,Odd Lot,73195381574.0
2013-04-01,Retail,16428235269.0
2013-04-01,Round Lot,236715461996.0
2013-07-01,Block,245119157448.0
2013-07-01,Odd Lot,69097593436.0
2013-07-01,Retail,15871500559.0
2013-07-01,Round Lot,212151841471.0
2013-10-01,Block,249129861616.0
2013-10-01,Odd Lot,66561526358.0
2013-10-01,Retail,15558553205.0
2013-10-01,Round Lot,200971588270.0
2014-01-01,Block,312717892957.0
2014-01-01,Odd Lot,70445108038.0
2014-01-01,Retail,16876594587.0
2014-01-01,Round Lot,227175972320.0
2014-04-01,Block,298403576575.0
2014-04-01,Odd Lot,73851064286.0
2014-04-01,Retail,16395467748.0
2014-04-01,Round Lot,213133963480.0
2014-07-01,Block,255934663677.0
2014-07-01,Odd Lot,71733423888.0
2014-07-01,Retail,15054684812.0
2014-07-01,Round Lot,214472604800.0
2014-10-01,Block,270124291063.0
2014-10-01,Odd Lot,80244541524.0
2014-10-01,Retail,15501002856.0
2014-10-01,Round Lot,239754140458.0
2015-01-01,Block,328488973000.0
2015-01-01,Odd Lot,90572103731.0
2015-01-01,Retail,17168905047.0
2015-01-01,Round Lot,279311319920.0
2015-04-01,Block,309525915293.0
2015-04-01,Odd Lot,82955256166.0
2015-04-01,Retail,16676046297.0
2015-04-01,Round Lot,262064413554.0
2015-07-01,Block,292588187691.0
2015-07-01,Odd Lot,80179067006.0
2015-07-01,Retail,16356551525.0
2015-07-01,Round Lot,256714752147.0
2015-10-01,Block,280404223166.0
2015-10-01,Odd Lot,75128274028.0
2015-10-01,Retail,17078778978.0
2015-10-01,Round Lot,240412888652.0
2016-01-01,Block,373575730426.0
2016-01-01,Odd Lot,87142006670.0
2016-01-01,Retail,20234625841.0
2016-01-01,Round Lot,296501061927.0
2016-04-01,Block,320115897066.0
2016-04-01,Odd Lot,86043776882.0
2016-04-01,Retail,19848473026.0
2016-04-01,Round Lot,267189312983.0
2016-07-01,Block,300650281925.0
2016-07-01,Odd Lot,79963428761.0
2016-07-01,Retail,18593411325.0
2016-07-01,Round Lot,245563837878.0
2016-10-01,Block,301268283137.0
2016-10-01,Odd Lot,80772966518.0
2016-10-01,Retail,18587327804.0
2016-10-01,Round Lot,239733844175.0
2017-01-01,Block,400749602303.0
2017-01-01,Odd Lot,90670154269.0
2017-01-01,Retail,22500072491.0
2017-01-01,Round Lot,276155624307.0
2017-04-01,Block,326719234425.0
2017-04-01,Odd Lot,82089291654.0
2017-04-01,Retail,20684088295.0
2017-04-01,Round Lot,240950693613.0
2017-07-01,Block,297469377460.0
2017-07-01,Odd Lot,78228011167.0
2017-07-01,Retail,19069387098.0
2017-07-01,Round Lot,227373805908.0
2017-10-01,Block,299796669782.0
2017-10-01,Odd Lot,78128684710.0
2017-10-01,Retail,20132854801.0
2017-10-01,Round Lot,230180587981.0
2018-01-01,Block,387069057969.0
2018-01-01,Odd Lot,90122040002.0
2018-01-01,Retail,23156437986.0
2018-01-01,Round Lot,268624501125.0
2018-04-01,Block,333221763528.0
2018-04-01,Odd Lot,84153331386.0
2018-04-01,Retail,22947576985.0
2018-04-01,Round Lot,255266022518.0
2018-07-01,Block,281699532750.0
2018-07-01,Odd Lot,78061894073.0
2018-07-01,Retail,21731345072.0
2018-07-01,Round Lot,220574601927.0
2018-10-01,Block,287094351979.0
2018-10-01,Odd Lot,87232760212.0
2018-10-01,Retail,23303420068.0
2018-10-01,Round Lot,251797647361.0
2019-01-01,Block,409843113621.0
2019-01-01,Odd Lot,97514689663.0
2019-01-01,Retail,26198718868.0
2019-01-01,Round Lot,295668366576.0
2019-04-01,Block,347394017783.0
2019-04-01,Odd Lot,93079669783.0
2019-04-01,Retail,24166845195.0
2019-04-01,Round Lot,261567813266.0
2019-07-01,Block,320482908629.0
2019-07-01,Odd Lot,93009158741.0
2019-07-01,Retail,23325000240.0
2019-07-01,Round Lot,249171839929.0
2019-10-01,Block,293576058026.0
2019-10-01,Odd Lot,90764004906.0
2019-10-01,Retail,22497450241.0
2019-10-01,Round Lot,230383188067.0
2020-01-01,Block,428917523659.0
2020-01-01,Odd Lot,117801213655.0
2020-01-01,Retail,25601114282.0
2020-01-01,Round Lot,323556250347.0
2020-04-01,Block,518148295471.0
2020-04-01,Odd Lot,135803887710.0
2020-04-01,Retail,26311997255.0
2020-04-01,Round Lot,408573402945.0
