TrdExctnQrDt,SizeCategory,TransactionCosts
2002-07-01,Block,11.583260311797709
2002-07-01,Odd Lot,51.98903626809135
2002-07-01,Retail,219.0298158933037
2002-07-01,Round Lot,32.52758974378844
2002-10-01,Block,5.913381283894899
2002-10-01,Odd Lot,50.515251479670916
2002-10-01,Retail,216.31714763893928
2002-10-01,Round Lot,21.444528412504056
2003-01-01,Block,5.878378501200441
2003-01-01,Odd Lot,46.58489664426478
2003-01-01,Retail,189.9772150986239
2003-01-01,Round Lot,18.04656679271373
2003-04-01,Block,11.288303164358036
2003-04-01,Odd Lot,32.82827745153793
2003-04-01,Retail,145.18176721522244
2003-04-01,Round Lot,15.70061964952021
2003-07-01,Block,8.60215362477494
2003-07-01,Odd Lot,34.26887462500626
2003-07-01,Retail,157.41532396000318
2003-07-01,Round Lot,16.04408643796428
2003-10-01,Block,6.301047058133832
2003-10-01,Odd Lot,24.857231766080112
2003-10-01,Retail,115.46425451162767
2003-10-01,Round Lot,10.233705408276428
2004-01-01,Block,4.7232326444133035
2004-01-01,Odd Lot,26.302542299304598
2004-01-01,Retail,108.07673655507745
2004-01-01,Round Lot,10.80722070535028
2004-04-01,Block,8.646508450538418
2004-04-01,Odd Lot,23.929277979173513
2004-04-01,Retail,117.65243371190736
2004-04-01,Round Lot,9.285710785927826
2004-07-01,Block,6.33554592462493
2004-07-01,Odd Lot,25.12939662364249
2004-07-01,Retail,129.9465801121065
2004-07-01,Round Lot,7.534158809997304
2004-10-01,Block,3.58383256775034
2004-10-01,Odd Lot,23.26741250847817
2004-10-01,Retail,110.10363673991583
2004-10-01,Round Lot,10.642253411563413
2005-01-01,Block,2.1451974374532754
2005-01-01,Odd Lot,27.075737525034008
2005-01-01,Retail,116.35015712400202
2005-01-01,Round Lot,11.778222385042778
2005-04-01,Block,7.287216160729149
2005-04-01,Odd Lot,30.001517594422715
2005-04-01,Retail,120.38203998226913
2005-04-01,Round Lot,8.490001481478627
2005-07-01,Block,0.825635232939885
2005-07-01,Odd Lot,23.298176156489742
2005-07-01,Retail,74.87806664772339
2005-07-01,Round Lot,9.378829405067771
2005-10-01,Block,12.20876016566266
2005-10-01,Odd Lot,9.155472601094617
2005-10-01,Retail,30.549278599400527
2005-10-01,Round Lot,17.77392698862101
2006-01-01,Block,7.6508867110850245
2006-01-01,Odd Lot,20.180703198338218
2006-01-01,Retail,62.33269188582074
2006-01-01,Round Lot,12.583751608493573
2006-04-01,Block,2.686829700586765
2006-04-01,Odd Lot,20.78921885587062
2006-04-01,Retail,62.06572808705625
2006-04-01,Round Lot,8.702641672145292
2006-07-01,Block,7.013538712094123
2006-07-01,Odd Lot,24.2841687194249
2006-07-01,Retail,72.82560216421848
2006-07-01,Round Lot,9.511370149748524
2006-10-01,Block,4.276066982768764
2006-10-01,Odd Lot,22.787539554030328
2006-10-01,Retail,64.29102310037003
2006-10-01,Round Lot,9.795412127572536
2007-01-01,Block,4.611618481777426
2007-01-01,Odd Lot,22.934856799991785
2007-01-01,Retail,72.94912571819125
2007-01-01,Round Lot,8.04121036645359
2007-04-01,Block,4.567852976908003
2007-04-01,Odd Lot,23.651382125949283
2007-04-01,Retail,78.19467085264925
2007-04-01,Round Lot,10.30037020142451
2007-07-01,Block,13.10933168024398
2007-07-01,Odd Lot,38.066583112199616
2007-07-01,Retail,93.30569927092374
2007-07-01,Round Lot,16.085243141961485
2007-10-01,Block,11.383929880198552
2007-10-01,Odd Lot,38.79139309972127
2007-10-01,Retail,91.16931555101891
2007-10-01,Round Lot,15.61038858819278
2008-01-01,Block,12.671190686210839
2008-01-01,Odd Lot,52.43661834732811
2008-01-01,Retail,147.2454386501801
2008-01-01,Round Lot,20.217855919579925
2008-04-01,Block,11.312093773601637
2008-04-01,Odd Lot,46.761016364672315
2008-04-01,Retail,119.13543906254257
2008-04-01,Round Lot,15.55980939346835
2008-07-01,Block,-8.543146918561096
2008-07-01,Odd Lot,11.507298513924196
2008-07-01,Retail,111.93911468180539
2008-07-01,Round Lot,20.48159598131066
2008-10-01,Block,41.654357499877094
2008-10-01,Odd Lot,92.04209390119976
2008-10-01,Retail,191.72748835131236
2008-10-01,Round Lot,37.37497074789983
2009-01-01,Block,24.278717035176744
2009-01-01,Odd Lot,81.10185101260117
2009-01-01,Retail,187.4839584121737
2009-01-01,Round Lot,32.47420764034401
2009-04-01,Block,13.051339269431418
2009-04-01,Odd Lot,70.35338666056239
2009-04-01,Retail,173.76435646055555
2009-04-01,Round Lot,26.537416140154697
2009-07-01,Block,14.689838122544584
2009-07-01,Odd Lot,32.91259330290618
2009-07-01,Retail,97.4367425862083
2009-07-01,Round Lot,25.45793609306524
2009-10-01,Block,12.433456243886146
2009-10-01,Odd Lot,33.26738618869049
2009-10-01,Retail,86.21587515994638
2009-10-01,Round Lot,17.05064077148062
2010-01-01,Block,10.458931844811856
2010-01-01,Odd Lot,34.141971951981965
2010-01-01,Retail,94.06095309118872
2010-01-01,Round Lot,16.227333020182936
2010-04-01,Block,9.870704757451463
2010-04-01,Odd Lot,34.65654661319206
2010-04-01,Retail,94.11893428734626
2010-04-01,Round Lot,13.971205741893998
2010-07-01,Block,9.682120665285987
2010-07-01,Odd Lot,30.55961651955608
2010-07-01,Retail,87.92801901960986
2010-07-01,Round Lot,11.838881044678631
2010-10-01,Block,11.069665777193055
2010-10-01,Odd Lot,25.468741963491624
2010-10-01,Retail,68.01973897549306
2010-10-01,Round Lot,11.758609047306471
2011-01-01,Block,5.999178144107674
2011-01-01,Odd Lot,21.78496825170932
2011-01-01,Retail,69.29673033533322
2011-01-01,Round Lot,9.715237946652097
2011-04-01,Block,7.993608705630128
2011-04-01,Odd Lot,23.13521286032282
2011-04-01,Retail,74.17886707907627
2011-04-01,Round Lot,9.402741009235863
2011-07-01,Block,11.563910116370273
2011-07-01,Odd Lot,30.18308453149881
2011-07-01,Retail,93.10133460695012
2011-07-01,Round Lot,13.05680299600069
2011-10-01,Block,11.102346469171236
2011-10-01,Odd Lot,37.143388751843716
2011-10-01,Retail,98.4758415234655
2011-10-01,Round Lot,16.811922738337373
2012-01-01,Block,10.839783224404048
2012-01-01,Odd Lot,31.052027220314482
2012-01-01,Retail,87.1714311621687
2012-01-01,Round Lot,11.689739003336367
2012-04-01,Block,11.42908924349652
2012-04-01,Odd Lot,30.008423882699425
2012-04-01,Retail,85.04404715509672
2012-04-01,Round Lot,13.179042706068111
2012-07-01,Block,9.787728345366967
2012-07-01,Odd Lot,29.474607460395436
2012-07-01,Retail,81.14716110722303
2012-07-01,Round Lot,13.784362235435411
2012-10-01,Block,10.078360812552773
2012-10-01,Odd Lot,25.642290884667766
2012-10-01,Retail,72.82673792598523
2012-10-01,Round Lot,12.102157664759712
2013-01-01,Block,9.754078179396787
2013-01-01,Odd Lot,25.12422171050423
2013-01-01,Retail,67.26309949799884
2013-01-01,Round Lot,11.9415500127195
2013-04-01,Block,11.408135861524306
2013-04-01,Odd Lot,22.722996639249896
2013-04-01,Retail,61.2626228820041
2013-04-01,Round Lot,11.475812905970137
2013-07-01,Block,10.433631745746215
2013-07-01,Odd Lot,20.61941392945617
2013-07-01,Retail,66.40475160847782
2013-07-01,Round Lot,10.83478587007634
2013-10-01,Block,7.858128413064563
2013-10-01,Odd Lot,19.720284486537246
2013-10-01,Retail,65.89609716855682
2013-10-01,Round Lot,10.175772365925182
2014-01-01,Block,7.602118039206163
2014-01-01,Odd Lot,20.69804766433127
2014-01-01,Retail,64.03912620666142
2014-01-01,Round Lot,9.712223074632778
2014-04-01,Block,6.642052126083999
2014-04-01,Odd Lot,18.721256842556304
2014-04-01,Retail,61.252301107028295
2014-04-01,Round Lot,8.552031047845832
2014-07-01,Block,6.317499340245271
2014-07-01,Odd Lot,19.55021272108365
2014-07-01,Retail,59.74205362691777
2014-07-01,Round Lot,8.538731358467317
2014-10-01,Block,8.198254491399638
2014-10-01,Odd Lot,21.01282085741708
2014-10-01,Retail,61.977939743756146
2014-10-01,Round Lot,11.17290795374984
