TrdExctnDtEOM,InstitutionalVolume,RetailVolume,InstitutionalTrades,RetailTrades,InstitutionalCusips,RetailCusips
2002-07-31,329811723910.0,6972609221.0,59549,188125,1992,2669
2002-08-31,222418718100.0,8168489304.0,56006,233620,2171,2955
2002-09-30,210848490268.0,7506179567.0,52453,216747,2089,2751
2002-10-31,283712855376.0,10156583375.0,74909,292852,2400,3121
2002-11-30,180754250200.0,7482889853.0,51370,216605,1872,2424
2002-12-31,171312551814.0,6959946821.0,43653,195752,1807,2385
2003-01-31,296221006833.0,9316471112.0,73642,268883,2571,3391
2003-02-28,222136251000.0,8378308622.0,62428,244651,2532,3409
2003-03-31,243067968002.0,9415669572.0,67231,269150,2293,2895
2003-04-30,251503393778.0,8893933317.0,70784,252739,2310,2984
2003-05-31,233484721390.0,8361637275.0,64908,228573,2508,3294
2003-06-30,236238681838.0,8266388599.0,62147,220933,2315,2956
2003-07-31,265413229355.0,8192142260.0,66944,225760,2386,3095
2003-08-31,187544645425.0,7220283293.0,52359,205368,2115,2731
2003-09-30,223455825914.0,7470994684.0,63999,202751,2391,2881
2003-10-31,247483327194.0,7983042827.0,70440,215834,2637,3356
2003-11-30,126473836000.0,5612877013.0,36595,159859,1370,1695
2003-12-31,170858901280.0,6841842003.0,44188,186242,1991,2541
2004-01-31,257824259641.0,7011920872.0,59510,191589,2462,3172
2004-02-29,190672269320.0,6318901171.0,52866,171333,2302,2883
2004-03-31,220818300314.0,7280482082.0,59643,192229,2375,2906
2004-04-30,211596110284.0,6729754764.0,53621,181832,2591,3310
2004-05-31,170671356949.0,6274159600.0,45882,177731,1837,2236
2004-06-30,182027428668.0,7354333563.0,48521,200882,2425,2903
2004-07-31,188199261060.0,6931274035.0,49952,195802,2410,2998
2004-08-31,180681748120.0,6671705462.0,44981,189130,2147,2602
2004-09-30,229547181390.0,6023020273.0,50336,166981,2321,2922
2004-10-31,214603609618.0,5671565643.0,53623,157135,2114,2632
2004-11-30,176417270721.0,6039999724.0,46576,163305,2107,2640
2004-12-31,154412799362.0,6801428380.0,40558,178643,2186,2788
2005-01-31,194583437000.0,7450749417.0,53614,196971,2233,2745
2005-02-28,193240672981.0,6843577423.0,49588,183385,2225,2747
