TrdExctnDtEOM,InstitutionalVolume,RetailVolume,InstitutionalTrades,RetailTrades,InstitutionalCusips,RetailCusips
2002-07-31,221353506794.0,3205298815.0,42467,82651,1181,1073
2002-08-31,153136810187.0,3508319886.0,37641,94840,1173,1076
2002-09-30,145292002013.0,3235566885.0,36425,91152,1136,1049
2002-10-31,195841894376.0,4391395613.0,52250,119434,1405,1270
2002-11-30,125830066117.0,2821617956.0,33396,75669,907,843
2002-12-31,88832732062.0,2532139856.0,21630,68947,554,526
2003-01-31,224297772833.0,4777478371.0,52289,136194,1463,1336
2003-02-28,158587231500.0,4195189389.0,44238,119302,1485,1334
2003-03-31,173928476000.0,4279420671.0,47357,117061,1256,1178
2003-04-30,178565303778.0,4210279700.0,49650,114458,1291,1198
2003-05-31,173496940820.0,3917178075.0,46127,102759,1410,1293
2003-06-30,152006814838.0,3695587185.0,40363,94593,1187,1120
2003-07-31,195936770938.0,4171909938.0,49131,111417,1386,1268
2003-08-31,122975591000.0,3518156476.0,35125,97616,1058,989
2003-09-30,153068481414.0,3525343588.0,43347,92574,1355,1220
2003-10-31,193539156217.0,4062180352.0,51021,106236,1504,1369
2003-11-30,79889763000.0,1857450581.0,19786,50138,499,475
2003-12-31,86163697000.0,2505775178.0,22464,64654,750,723
2004-01-31,191653622121.0,3415261298.0,42964,89130,1426,1323
2004-02-29,128836773820.0,2907740247.0,37165,74881,1319,1233
2004-03-31,153785412314.0,3306618499.0,40192,84675,1277,1190
2004-04-30,156915544000.0,3151560586.0,38131,81128,1498,1367
2004-05-31,95994793020.0,2427182739.0,28177,63994,848,800
2004-06-30,137182440306.0,3371676273.0,33280,89070,1336,1247
2004-07-31,134943020060.0,3126804795.0,34849,85635,1347,1254
2004-08-31,130834806010.0,2820596320.0,28940,77578,1075,1011
2004-09-30,170939486000.0,2890058096.0,36327,78171,1386,1284
2004-10-31,175330829722.0,2551198027.0,39443,68227,1217,1130
2004-11-30,114744007721.0,2451101092.0,30427,62932,1084,1023
2004-12-31,78850201362.0,2564236199.0,21322,62989,817,793
2005-01-31,140631862000.0,3440826632.0,37473,88401,1260,1180
2005-02-28,127592835981.0,2791692837.0,34036,72747,1177,1088
2005-03-31,150357632449.0,3846395908.0,43263,101996,1304,1225
2005-04-30,137174327387.0,3407252721.0,40887,89164,1307,1211
2005-05-31,111382838800.0,2669122339.0,34554,69823,897,851
2005-06-30,157431500326.0,3009734343.0,37368,74237,1313,1238
2005-07-31,108700654016.0,2399961038.0,27893,59572,1177,1096
2005-08-31,90007410000.0,2462324256.0,26583,63290,989,942
2005-09-30,110416937208.0,2668187109.0,34620,67377,1422,1290
2005-10-31,111769055846.0,2447421461.0,33842,63056,1123,1058
2005-11-30,114378463888.0,2634879518.0,31278,68144,1249,1157
2005-12-31,51067746101.0,2235053905.0,16716,56122,744,701
2006-01-31,120591510422.0,2519233022.0,35341,63089,1310,1216
2006-02-28,100045328952.0,2284542350.0,30373,58213,1220,1116
2006-03-31,123650095896.0,2963221379.0,37519,76503,1471,1369
2006-04-30,97741953763.0,2177978604.0,27170,55401,1255,1166
2006-05-31,101861036000.0,2230253428.0,29372,57249,996,936
2006-06-30,101489969000.0,2549140113.0,30455,68779,1359,1266
2006-07-31,77390140343.0,1991491762.0,23383,50961,1169,1073
2006-08-31,87189940400.0,2584449884.0,27129,68084,1143,1064
2006-09-30,104542489716.0,2479365905.0,31094,62148,1390,1281
2006-10-31,105735427502.0,2354511528.0,30402,60745,1219,1123
2006-11-30,107778887500.0,2591141754.0,30688,63158,1397,1282
2006-12-31,46168865046.0,1546577112.0,13301,38807,526,506
2007-01-31,123492921950.0,2669499517.0,33181,69915,1256,1173
2007-02-28,99571426161.0,2007750478.0,27781,51865,1207,1118
2007-03-31,112375469150.0,2316913336.0,31739,58723,1324,1220
2007-04-30,90642425844.0,1916011560.0,25060,48650,1163,1066
2007-05-31,89655805651.0,2193073251.0,25724,57263,1172,1082
2007-06-30,96058347362.0,2550993344.0,26982,67973,1320,1211
2007-07-31,80958802000.0,1834711106.0,22959,49915,1015,959
2007-08-31,81356892000.0,1913727746.0,22589,49909,1018,922
2007-09-30,82713309510.0,1889929455.0,23637,45970,1103,1008
2007-10-31,92653532000.0,2062657694.0,26262,52200,1062,987
2007-11-30,80790667000.0,2006871033.0,25997,50510,1209,1093
2007-12-31,41960360000.0,1472023157.0,12834,36965,485,459
2008-01-31,116713108960.0,3021826436.0,35231,79791,1293,1171
2008-02-29,106896083829.0,3299159962.0,31783,89998,1296,1174
2008-03-31,84634325640.0,2600050220.0,24815,70041,1080,988
2008-04-30,112085231073.0,2980251034.0,31322,80698,1202,1115
2008-05-31,115896506000.0,3226470550.0,31595,86368,1254,1178
2008-06-30,84684195671.0,2981129641.0,25299,87372,1090,1016
2008-07-31,76927168212.0,2715268602.0,23827,80735,1129,1076
2008-08-31,53633773000.0,2768115832.0,17125,76620,808,780
2008-09-30,85724065812.0,3201962846.0,24901,90195,827,787
2008-10-31,112464588900.0,5067634451.0,34513,152790,1253,1160
2008-11-30,46416161038.0,2873741364.0,15359,88889,472,459
2008-12-31,65418730000.0,3818515400.0,20227,110704,664,644
2009-01-31,133759256098.0,5929609876.0,37357,181789,1294,1238
2009-02-28,128813493602.0,6148707285.0,38764,192964,1302,1225
2009-03-31,129622966104.0,7554293955.0,41708,243714,1206,1148
2009-04-30,140876655981.0,7071337665.0,41879,232675,1351,1301
2009-05-31,157178771065.0,6979786812.0,44665,219271,1305,1233
2009-06-30,166809285794.0,6907388365.0,45043,208085,1255,1209
2009-07-31,145088002211.0,6324507466.0,41304,190063,1490,1428
2009-08-31,109816626546.0,5432455649.0,33087,157558,1203,1172
2009-09-30,138893534867.0,6002832703.0,39779,168379,1411,1372
2009-10-31,138174040762.0,5777275244.0,41204,166029,1516,1470
2009-11-30,87994899945.0,3630307012.0,25332,99346,952,934
2009-12-31,76136349604.0,3705612983.0,22879,99411,837,821
2010-01-31,136903089750.0,4906510316.0,38072,133304,1385,1360
2010-02-28,115457346045.0,5457433070.0,34818,153621,1312,1280
2010-03-31,152529174804.0,6389014356.0,45511,174451,1383,1351
2010-04-30,138260215605.0,5660441203.0,40815,153176,1600,1543
2010-05-31,109205128763.0,4195530718.0,33754,114830,1040,1022
2010-06-30,112290056982.0,5317166074.0,35957,146299,1330,1306
2010-07-31,113294760784.0,4879361015.0,34748,134159,1446,1409
2010-08-31,121853782245.0,5514617910.0,35013,152700,1245,1218
2010-09-30,136458370964.0,6067106810.0,43411,166205,1607,1561
2010-10-31,133052243589.0,5257811869.0,37864,140115,1429,1388
2010-11-30,107391350808.0,4573561142.0,33607,123618,1232,1204
2010-12-31,79976958972.0,4311484285.0,25830,116563,1000,989
2011-01-31,135875505972.0,4847135087.0,39176,131234,1416,1390
2011-02-28,139127455387.0,4941499652.0,39133,132242,1437,1387
2011-03-31,153304959262.0,6209152472.0,47230,165710,1602,1573
